Vessel Call Cd,Vessel Record Id,Cargo Client Code Cd,Berth Nbr,Actual Berth,Actual Unberth,First Activity,Last Activity,Gross Hour,Rain Hours,Gross Vessel Throughput,First Cargo,Last Cargo,Range Of Tonnage,Throughput per hour,Incident - Crane,Incident - Container
1500000183,43397,Cargo Client Code C,J10,10/01/2015 20:55:00,11/01/2015 15:25:00,11/01/2015 08:00:00,11/01/2015 15:00:00,18.5,0.3,1189.35,11/01/2015 15:00:00,11/01/2015 15:00:00,1K-5K,64,0,1
1500001767,36197,Cargo Client Code I,J15/16,11/02/2015 18:20:00,12/02/2015 13:50:00,11/02/2015 20:00:00,12/02/2015 13:00:00,19.5,0,1249.98,,12/02/2015 13:00:00,1K-5K,64,0,0
1500000095,48274,Cargo Client Code B,J5,13/01/2015 09:15:00,14/01/2015 06:30:00,13/01/2015 09:30:00,13/01/2015 20:00:00,21.25,0,1363.08,13/01/2015 11:00:00,13/01/2015 20:00:00,1K-5K,64,1,1
1500001862,92478,Cargo Client Code J,J14,13/02/2015 08:20:00,14/02/2015 00:30:00,13/02/2015 09:00:00,14/02/2015 00:15:00,16.17,0,1056.14,,13/02/2015 23:00:00,1K-5K,65,0,0
1500003356,48274,Cargo Client Code B,J5,26/03/2015 09:25:00,27/03/2015 01:40:00,26/03/2015 10:45:00,27/03/2015 01:15:00,16.25,0,1051.31,26/03/2015 22:05:00,27/03/2015 01:15:00,1K-5K,65,1,1
1500006558,52429,Cargo Client Code B,J5,06/05/2015 10:25:00,06/06/2015 06:30:00,06/05/2015 14:00:00,06/06/2015 00:45:00,20.08,0,1310.24,,06/06/2015 00:45:00,1K-5K,65,1,0
1500001505,null,Cargo Client Code L,J15/16,13/02/2015 03:10:00,14/02/2015 02:35:00,13/02/2015 08:15:00,13/02/2015 23:59:00,23.42,0,1525,13/02/2015 23:59:00,13/02/2015 23:59:00,1K-5K,65,0,1
1500002862,16023,Cargo Client Code Q,J5,07/04/2015 23:25:00,08/04/2015 21:25:00,07/04/2015 23:30:00,08/04/2015 19:30:00,22,0.23,1468,08/04/2015 19:30:00,08/04/2015 19:30:00,1K-5K,67,0,0
1500004080,10594,Cargo Client Code K,J6,13/04/2015 08:00:00,14/04/2015 02:30:00,13/04/2015 09:00:00,14/04/2015 02:00:00,17.58,0.21,1201,13/04/2015 22:30:00,14/04/2015 02:00:00,1K-5K,68,0,0
1500006771,22011,Cargo Client Code U,J5,14/06/2015 10:20:00,15/06/2015 06:25:00,14/06/2015 12:00:00,14/06/2015 20:30:00,20.08,0.4,1374.72,,14/06/2015 20:30:00,1K-5K,68,0,1
1500005671,55295,Cargo Client Code J,J5,18/05/2015 09:25:00,19/05/2015 06:00:00,18/05/2015 10:00:00,19/05/2015 05:30:00,20.58,1.97,1408.1,,19/05/2015 05:00:00,1K-5K,68,1,0
1500002386,5535,Cargo Client Code O,J4,03/03/2015 16:40:00,03/04/2015 13:30:00,03/03/2015 16:45:00,03/04/2015 13:00:00,20.83,0.45,1411.2,03/04/2015 13:00:00,03/04/2015 13:00:00,1K-5K,68,0,0
1500003338,55244,Cargo Client Code F,J17,25/03/2015 08:05:00,26/03/2015 06:30:00,25/03/2015 09:45:00,25/03/2015 21:00:00,22.42,0,1532.9,,25/03/2015 21:00:00,1K-5K,68,0,0
1500000830,52429,Cargo Client Code B,J7,22/01/2015 11:15:00,23/01/2015 06:30:00,22/01/2015 15:30:00,23/01/2015 04:00:00,19.25,0,1324.95,,23/01/2015 04:00:00,1K-5K,69,0,0
1500001764,48275,Cargo Client Code B,J5/6,23/02/2015 11:10:00,24/02/2015 06:30:00,23/02/2015 12:30:00,23/02/2015 20:30:00,19.33,0.42,1331.16,,23/02/2015 20:30:00,1K-5K,69,0,0
1400016584,73011,Cargo Client Code O,J5,10/01/2015 08:25:00,10/01/2015 23:15:00,10/01/2015 08:30:00,10/01/2015 23:00:00,14.83,0,1044.83,,10/01/2015 23:00:00,1K-5K,70,0,1
1500001555,35176,Cargo Client Code F,J5/6,17/02/2015 16:45:00,18/02/2015 07:00:00,17/02/2015 17:00:00,18/02/2015 03:30:00,14.25,0,1028,,18/02/2015 03:30:00,1K-5K,72,0,1
1500002374,54170,Cargo Client Code B,J18/19,27/02/2015 16:10:00,28/02/2015 06:30:00,27/02/2015 16:45:00,27/02/2015 20:15:00,14.33,0,1030.11,,27/02/2015 20:15:00,1K-5K,72,0,1
1500006817,58513,Cargo Client Code F,J16/17,12/06/2015 07:10:00,12/06/2015 22:40:00,12/06/2015 09:00:00,12/06/2015 19:10:00,15.5,4.01,1108.78,12/06/2015 19:10:00,12/06/2015 16:30:00,1K-5K,72,0,0
1400016416,48275,Cargo Client Code B,J5/6,07/01/2015 09:25:00,08/01/2015 06:30:00,07/01/2015 09:45:00,07/01/2015 20:45:00,21.08,0.97,1515.77,07/01/2015 14:45:00,07/01/2015 20:45:00,1K-5K,72,0,0
1500000092,48275,Cargo Client Code B,J2A,09/01/2015 09:20:00,10/01/2015 06:30:00,09/01/2015 09:45:00,09/01/2015 19:00:00,21.17,1.41,1525.04,09/01/2015 11:00:00,09/01/2015 19:00:00,1K-5K,72,0,0
1500003574,48274,Cargo Client Code B,J5,04/01/2015 08:30:00,04/01/2015 22:10:00,04/01/2015 08:45:00,04/01/2015 22:00:00,13.67,1.11,1000,04/01/2015 11:45:00,04/01/2015 22:00:00,1K-5K,73,0,1
1500005685,4137,Cargo Client Code B,J18,13/05/2015 16:45:00,14/05/2015 06:30:00,13/05/2015 17:15:00,13/05/2015 21:15:00,13.75,0,1008.94,,13/05/2015 21:15:00,1K-5K,73,0,1
1500003979,108885,Cargo Client Code S,J14/15,04/06/2015 15:20:00,07/04/2015 06:00:00,04/06/2015 15:35:00,07/04/2015 05:30:00,14.67,0.02,1070,07/04/2015 05:30:00,07/04/2015 05:30:00,1K-5K,73,0,1
1500006769,73011,Cargo Client Code O,J5,12/06/2015 14:45:00,13/06/2015 08:30:00,12/06/2015 18:30:00,13/06/2015 08:20:00,17.75,2.54,1300.63,13/06/2015 03:00:00,13/06/2015 07:45:00,1K-5K,73,1,1
1500005982,43330,Cargo Client Code H,J16,28/05/2015 07:40:00,28/05/2015 22:15:00,28/05/2015 08:00:00,28/05/2015 21:30:00,14.58,0.27,1079.66,28/05/2015 21:30:00,28/05/2015 21:30:00,1K-5K,74,0,0
1500001173,108445,Cargo Client Code B,J2A,02/02/2015 07:45:00,02/02/2015 22:25:00,02/02/2015 10:00:00,02/02/2015 22:00:00,14.67,1.41,1089.77,,02/02/2015 22:00:00,1K-5K,74,0,1
1500001661,48275,Cargo Client Code B,J5/6,11/02/2015 10:15:00,12/02/2015 06:30:00,11/02/2015 11:30:00,12/02/2015 01:00:00,20.25,0,1507.27,11/02/2015 23:00:00,12/02/2015 01:00:00,1K-5K,74,0,0
1500002755,80504,Cargo Client Code T,J2/3,27/03/2015 20:35:00,28/03/2015 20:10:00,27/03/2015 21:30:00,28/03/2015 19:30:00,23.58,0.67,1744.47,,28/03/2015 19:30:00,1K-5K,74,0,0
1500002621,48274,Cargo Client Code B,J6,07/03/2015 09:40:00,08/03/2015 06:30:00,07/03/2015 09:45:00,07/03/2015 19:00:00,20.83,0,1558.95,07/03/2015 13:00:00,07/03/2015 19:00:00,1K-5K,75,0,0
1500006473,45736,Cargo Client Code F,J6,06/06/2015 11:30:00,07/06/2015 10:50:00,06/06/2015 13:00:00,07/06/2015 10:30:00,23.33,3.27,1773.94,06/06/2015 15:30:00,07/06/2015 10:30:00,1K-5K,76,0,0
1500001766,20410,Cargo Client Code V,J12A/12B,22/02/2015 02:50:00,22/02/2015 16:05:00,22/02/2015 08:00:00,22/02/2015 15:30:00,13.25,0.42,1015.91,22/02/2015 15:30:00,,1K-5K,77,0,0
1500006285,57085,Cargo Client Code B,J4A/4,30/05/2015 09:25:00,31/05/2015 00:25:00,30/05/2015 11:00:00,30/05/2015 23:00:00,15,0.02,1147.78,,30/05/2015 23:00:00,1K-5K,77,0,1
1500003358,48274,Cargo Client Code B,J5,30/03/2015 09:00:00,31/03/2015 06:30:00,30/03/2015 09:30:00,30/03/2015 19:00:00,21.5,0,1649.4,30/03/2015 10:30:00,30/03/2015 19:00:00,1K-5K,77,0,0
1500003107,95683,Cargo Client Code F,J14/15,19/03/2015 21:00:00,20/03/2015 19:00:00,19/03/2015 21:45:00,20/03/2015 16:30:00,22,0,1698,20/03/2015 16:30:00,20/03/2015 16:30:00,1K-5K,77,0,0
1500004446,85646,Cargo Client Code T,J5/6,17/04/2015 11:05:00,18/04/2015 00:50:00,17/04/2015 12:30:00,17/04/2015 21:30:00,13.75,0.2,1076,17/04/2015 21:30:00,17/04/2015 21:30:00,1K-5K,78,0,1
1500004236,28838,Cargo Client Code G,J5/6,25/05/2015 11:05:00,26/05/2015 06:30:00,25/05/2015 12:20:00,25/05/2015 22:30:00,19.42,0,1521.71,25/05/2015 21:00:00,25/05/2015 22:30:00,1K-5K,78,0,0
1500005569,88402,Cargo Client Code D,J4/5,16/05/2015 06:50:00,16/05/2015 23:15:00,16/05/2015 08:00:00,16/05/2015 21:30:00,16.42,0,1298.71,,16/05/2015 21:30:00,1K-5K,79,0,0
1500002298,95810,Cargo Client Code F,J16/17,24/02/2015 12:40:00,25/02/2015 05:30:00,24/02/2015 14:30:00,25/02/2015 04:30:00,16.83,0,1329.84,25/02/2015 04:30:00,25/02/2015 04:30:00,1K-5K,79,0,0
1500003537,28838,Cargo Client Code G,J5,27/03/2015 11:10:00,28/03/2015 06:30:00,27/03/2015 11:10:00,27/03/2015 22:00:00,19.33,0.18,1525.21,27/03/2015 20:00:00,27/03/2015 22:00:00,1K-5K,79,0,0
1500006466,44608,Cargo Client Code I,J13,06/04/2015 12:10:00,06/05/2015 08:05:00,06/04/2015 13:00:00,06/05/2015 05:50:00,19.92,0.23,1568.78,06/05/2015 05:50:00,06/05/2015 05:50:00,1K-5K,79,0,0
1500003604,52455,Cargo Client Code B,J3A,31/03/2015 07:20:00,31/03/2015 19:50:00,31/03/2015 08:30:00,31/03/2015 19:15:00,12.5,0.66,1001.9,31/03/2015 13:00:00,31/03/2015 19:15:00,1K-5K,80,0,0
1500003148,56188,Cargo Client Code B,J3A,18/03/2015 07:00:00,18/03/2015 19:45:00,18/03/2015 08:10:00,18/03/2015 19:30:00,12.75,0,1016.97,18/03/2015 11:10:00,18/03/2015 19:30:00,1K-5K,80,0,1
