Vessel Call Cd,Vessel Record Id,Cargo Client Code Cd,Berth Nbr,Actual Berth,Actual Unberth,First Activity,Last Activity,Gross Hour,Rain Hours,Gross Vessel Throughput,First Cargo,Last Cargo,Range Of Tonnage,Throughput per hour,Incident - Crane,Incident - Container
1500000510,20804,Cargo Client Code A,R2,16/1/2015 5:00,16/1/2015 8:15,16/1/2015 5:10,16/1/2015 8:10,3.25,0,1000,16/1/2015 6:40,16/1/2015 8:10,1K-5K,308,0,1
1400015997,20035,Cargo Client Code A,R1,20/3/2015 6:15,20/3/2015 9:15,20/3/2015 6:20,20/3/2015 9:00,3,0,1000,20/3/2015 7:50,20/3/2015 9:00,1K-5K,333,0,1
1500003574,48274,Cargo Client Code B,J5,4/1/2015 8:30,4/1/2015 22:10,4/1/2015 8:45,4/1/2015 22:00,13.67,1.11,1000,4/1/2015 11:45,4/1/2015 22:00,1K-5K,73,0,0
1500003604,52455,Cargo Client Code B,J3A,31/3/2015 7:20,31/3/2015 19:50,31/3/2015 8:30,31/3/2015 19:15,12.5,0.66,1001.9,31/3/2015 13:00,31/3/2015 19:15,1K-5K,80,0,0
1500006706,64839,Cargo Client Code K,J4/5,10/6/2015 19:15,11/6/2015 13:40,10/6/2015 19:30,11/6/2015 10:30,18.42,0,1002.39,11/6/2015 10:30,,1K-5K,54,0,0
1500003687,45736,Cargo Client Code F,J7,17/4/2015 10:15,18/4/2015 6:50,17/4/2015 10:30,18/4/2015 5:30,20.58,0.2,1003,,18/4/2015 5:30,1K-5K,49,0,0
1500003292,75581,Cargo Client Code A,R1,31/3/2015 5:00,31/3/2015 8:30,31/3/2015 5:05,31/3/2015 8:00,3.5,0,1003.55,31/3/2015 7:05,31/3/2015 8:00,1K-5K,287,0,1
1500003507,20035,Cargo Client Code A,R1,12/6/2015 4:45,12/6/2015 7:15,12/6/2015 4:50,12/6/2015 7:10,2.5,0,1003.96,12/6/2015 6:00,12/6/2015 7:10,1K-5K,402,1,1
1500006312,27309,Cargo Client Code B,J2,30/5/2015 8:20,30/5/2015 16:00,30/5/2015 9:00,30/5/2015 15:50,7.67,0.02,1004.82,30/5/2015 11:10,30/5/2015 15:50,1K-5K,131,0,0
1500002731,48274,Cargo Client Code B,J7,10/3/2015 9:20,11/3/2015 6:30,10/3/2015 9:30,10/3/2015 23:05,21.17,1,1004.92,10/3/2015 12:00,10/3/2015 23:05,1K-5K,47,0,0
1500003027,56458,Cargo Client Code B,J2/3,13/3/2015 10:30,13/3/2015 20:45,13/3/2015 10:50,13/3/2015 20:25,10.25,0,1005,13/3/2015 17:40,13/3/2015 20:25,1K-5K,98,0,0
1500005884,52455,Cargo Client Code B,J3A,21/5/2015 12:00,21/5/2015 20:25,21/5/2015 12:15,21/5/2015 20:15,8.42,0,1006.55,21/5/2015 14:00,21/5/2015 20:15,1K-5K,120,0,0
1500000921,null,Cargo Client Code B,J1C,23/1/2015 14:15,24/1/2015 13:50,23/1/2015 14:30,24/1/2015 13:40,23.58,0.08,1008.8,23/1/2015 16:00,24/1/2015 13:40,1K-5K,43,0,0
1500000617,75581,Cargo Client Code A,R1,2/5/2015 7:30,2/5/2015 9:50,2/5/2015 7:40,2/5/2015 9:40,2.33,0,1008.87,2/5/2015 8:25,2/5/2015 9:40,1K-5K,433,1,1
1500005685,4137,Cargo Client Code B,J18,13/5/2015 16:45,14/5/2015 6:30,13/5/2015 17:15,13/5/2015 21:15,13.75,0,1008.94,,13/5/2015 21:15,1K-5K,73,0,0
1500004833,53595,Cargo Client Code B,J2A,9/5/2015 10:40,9/5/2015 14:20,9/5/2015 10:50,9/5/2015 14:10,3.67,0,1009.1,9/5/2015 14:10,,1K-5K,275,0,1
1500000812,20035,Cargo Client Code A,R2,16/4/2015 5:20,16/4/2015 8:10,16/4/2015 5:25,16/4/2015 8:00,2.83,0,1010,16/4/2015 6:45,16/4/2015 8:00,1K-5K,357,0,1
1500005552,108445,Cargo Client Code B,J2A,16/5/2015 9:00,16/5/2015 13:50,16/5/2015 10:00,16/5/2015 13:30,4.83,0,1011.62,16/5/2015 12:00,16/5/2015 13:30,1K-5K,209,0,1
1500004158,20035,Cargo Client Code A,R1,23/6/2015 5:40,23/6/2015 8:00,23/6/2015 5:50,23/6/2015 7:45,2.16,0,1012.03,23/6/2015 6:40,23/6/2015 7:45,1K-5K,469,1,1
1500002303,48275,Cargo Client Code B,J6,3/2/2015 9:25,3/3/2015 6:30,3/2/2015 10:15,3/2/2015 21:15,20.75,1.73,1014.3,3/2/2015 13:00,3/2/2015 21:15,1K-5K,49,0,0
1400015251,20035,Cargo Client Code A,R2,3/6/2015 4:30,3/6/2015 8:35,3/6/2015 4:45,3/6/2015 8:10,4.08,0,1014.6,3/6/2015 6:15,3/6/2015 8:10,1K-5K,249,0,0
1400014952,17464,Cargo Client Code A,R1,6/1/2015 22:50,7/1/2015 2:25,6/1/2015 23:00,7/1/2015 2:15,3.58,0,1015,7/1/2015 0:25,7/1/2015 2:15,1K-5K,284,0,0
1500001420,20804,Cargo Client Code A,R2,11/2/2015 0:30,11/2/2015 3:00,11/2/2015 0:40,11/2/2015 2:50,2.5,0,1015,11/2/2015 1:30,11/2/2015 2:50,1K-5K,406,1,1
1400016698,20804,Cargo Client Code A,R2,24/3/2015 6:30,24/3/2015 8:35,24/3/2015 6:35,24/3/2015 8:25,2.08,0,1015,24/3/2015 7:10,24/3/2015 8:25,1K-5K,488,1,1
1400016693,20804,Cargo Client Code A,R2,4/2/2015 2:45,4/2/2015 5:00,4/2/2015 3:00,4/2/2015 4:50,2.25,0,1015,4/2/2015 4:00,4/2/2015 4:50,1K-5K,451,1,1
1500004117,108222,Cargo Client Code A,R2,30/4/2015 21:00,5/1/2015 1:30,30/4/2015 21:10,5/1/2015 1:10,4.5,0,1015,30/4/2015 23:10,5/1/2015 1:10,1K-5K,226,0,1
1400016450,86492,Cargo Client Code B,J18/19,4/1/2015 9:40,4/1/2015 14:30,4/1/2015 10:00,4/1/2015 14:20,4.83,0,1015.25,4/1/2015 10:30,4/1/2015 14:20,1K-5K,210,0,1
1500001766,20410,Cargo Client Code V,J12A/12B,22/2/2015 2:50,22/2/2015 16:05,22/2/2015 8:00,22/2/2015 15:30,13.25,0.42,1015.91,22/2/2015 15:30,,1K-5K,77,0,0
1500002834,25549,Cargo Client Code B,J2,10/3/2015 8:30,11/3/2015 2:10,10/3/2015 9:10,11/3/2015 2:00,17.67,0.38,1016.61,11/3/2015 2:00,11/3/2015 2:00,1K-5K,58,0,0
1500003148,56188,Cargo Client Code B,J3A,18/3/2015 7:00,18/3/2015 19:45,18/3/2015 8:10,18/3/2015 19:30,12.75,0,1016.97,18/3/2015 11:10,18/3/2015 19:30,1K-5K,80,0,0
1500005161,86718,Cargo Client Code K,J6,5/4/2015 4:00,5/4/2015 21:20,5/4/2015 8:00,5/4/2015 20:30,17.33,0,1018.44,5/4/2015 20:30,,1K-5K,59,0,0
1500001559,9934,Cargo Client Code B,J1C,11/2/2015 9:00,11/2/2015 19:10,11/2/2015 9:45,11/2/2015 18:45,10.17,0,1020.12,11/2/2015 11:00,11/2/2015 18:45,1K-5K,100,0,0
1500007283,56188,Cargo Client Code B,J3A,24/6/2015 7:00,24/6/2015 19:40,24/6/2015 8:30,24/6/2015 19:15,12.67,0,1021.66,24/6/2015 10:10,24/6/2015 19:15,1K-5K,81,0,0
1500001280,57085,Cargo Client Code B,J13,2/3/2015 13:00,2/4/2015 0:10,2/3/2015 13:30,2/3/2015 23:15,11.17,0,1022.62,2/3/2015 14:00,2/3/2015 23:15,1K-5K,92,0,0
